BT1, Belfast, 3.4
BT2, Belfast, 3.4
BT3, Belfast, 3.4
BT4, Belfast, 3.4
BT5, Belfast, 3.4
BT6, Belfast, 3.4
BT7, Belfast, 3.4
BT8, Belfast, 3.4
BT9, Belfast, 3.4
BT10, Belfast, 3.4
BT11, Belfast, 3.4
BT12, Belfast, 3.4
BT13, Belfast, 3.4
BT14, Belfast, 3.4
BT15, Belfast, 3.4
BT16, Belfast, 3.4
BT17, Belfast, 3.4
BT18, Holywood, 3.4
BT19, Bangor, 3.4 
BT20, Bangor, 3.4
BT21, Donaghadee, 3.4
BT22, Newtownards, 3.4
BT23, Newtownards, 3.4
BT24, Ballynahinch, 3.4
BT25, Dromore, 3.4
BT26, Hillsborough, 2.4.11
BT27, Lisburn, 1.2.4
BT28, Lisburn, 1.2.4
BT29, Crumlin, 1.2.3.4
BT30, Downpatrick, 2.3.8.10.11.12
BT31, Castlewellan, 2.3.4.8.10.11.12
BT32, Banbridge, 2.4.8.10.11
BT33, Newcastle, 24.8.10
BT34, Newry, 2.3.8.10.12
BT35, Newry, 2.3.8.10.12
BT36, Newtownabbey, 2.4.8.12
BT37, Newtownabbey, 2.4.8.12
BT38, Carrickfergus, 3.6.8.12
BT39, Ballyclare, 3.6.12
BT40, Larne, 2.3.4.6.12
BT41, Antrim, 1.3.4.6.7
BT42, Ballymena, 1.4.7
BT43, Ballymena, 1.4.7
BT44, Ballymena, 1.4.7
BT45, Magherafelt, 1.7.9
BT46, Maghera, 1.7.9
BT47, Derry, 21.19
BT48, Derry, 21.19
BT49, Limavady, 21.19
BT51, Coleraine, 1.21
BT52, Coleraine, 1.21
BT53, Ballymoney, 21.19
BT54, Ballycastle, 21.19
BT55, Portstewart, 21.19
BT56, Portrush, 21.19
BT57, Bushmills, 21.19
BT60, Armagh, 1.2
BT61, Armagh, 1.2
BT62, Craigavon, 1.2.16
BT63, Craigavon, 1.2.16
BT64, Craigavon, 1.2.16
BT65, Craigavon, 1.2.16
BT66, Craigavon, 1.2.16
BT67, Craigavon, 1.2.16
BT68, Caledon, 2.18
BT69, Aughnacloy, 1,.2
BT70, Dungannon, 1.17
BT71, Dungannon, 1.17
BT74, Enniskillen, 1.16
BT75, Fivemiletown, 1.19
BT76, Clogher, 1.19
BT77, Augher, 1.17
BT78, Omagh, 5.17
BT79, Omagh, 5.17
BT80, Cookstown, 1.17
BT81, Castlederg, 5.18
BT82, Strabane, 5.19
BT92, Enniskillen, 5.21
BT93, Enniskillen, 5.21
BT94, Enniskillen, 5.21
